t,ok,fresh,n_cams,x,y,yaw,v,gap,age,r0,r1,f0,f1
8.00006091594696e-07,True,True,2,1.6506873932348263,0.9072791954631814,177.25291045739118,0.0,3.4744487434386007,0.0,True,True,4,4
0.15273870000964962,True,True,2,1.650314879502295,0.9062348736429345,177.19377912895783,7.259309169137229,3.5005338001602073,0.0,True,True,3,4
0.22669770001084544,True,True,2,1.6506329045020982,0.9059886306734403,177.0893519601745,5.4383273508482874,2.2952827069175603,0.0,True,True,3,3
0.30011300000478514,True,True,2,1.6509226307507816,0.9059503992632987,177.20819398531933,3.9806118610980374,1.7847359962613085,0.0,True,True,3,3
0.3782110000029206,True,True,2,1.6507454253935219,0.9059641947658176,177.16461514882246,2.275878237199547,1.9286037497978155,0.0,True,True,3,3
0.45225349999964237,True,True,2,1.6505209025557426,0.905963481097831,177.121924566249,3.0323661683278735,2.554928550524472,0.0,True,True,3,3
0.5340397999971174,True,True,2,1.650809132700938,0.9059673786550558,177.14129768861704,3.5245083360232465,2.1203632618218875,0.0,True,True,3,3
0.6087576999998419,True,True,2,1.6514379121771676,0.906900414541587,177.15842011873912,15.058385254101895,1.4739216932267203,0.0,True,True,4,3
0.6831224000052316,True,True,2,1.6514535406485011,0.9066239427937907,177.19453838138713,3.723717311224747,1.606574947113115,0.0,True,True,4,3
0.7565516000031494,True,True,2,1.6513115117637138,0.9066746650703111,177.29008836206083,2.053873679869912,1.8608558206790713,0.0,True,True,4,3
0.8355382000008831,True,True,2,1.6513061040233037,0.9066449975583216,177.227568924197,0.38179059938095355,1.8055903633421653,0.0,True,True,4,3
0.9128411999990931,True,True,2,1.6512967841447181,0.906708665038166,177.2928006490177,0.8323868826821562,2.0209514570179024,0.0,True,True,4,3
0.999897300003795,True,True,2,1.65139746939226,0.9065940403386543,177.2025490923911,1.7525004828152881,1.6563546451915903,0.0,True,True,4,3
1.074172599997837,True,True,2,1.6511713466557412,0.9066841954536671,177.14773395599371,3.277436945050009,1.984610268921584,0.0,True,True,4,3
1.155355299997609,True,True,2,1.6506253395659072,0.9056216636009663,177.19354645922544,14.715104782887197,2.6988575648765454,0.0,True,True,3,3
1.2383699000056367,True,True,2,1.6504224424466778,0.9057835497602272,177.17608480383916,3.1267479768302366,2.9294997514620125,0.0,True,True,3,3
1.3118586000055075,True,True,2,1.6504983058806006,0.9056567199750295,177.13662816989427,2.011019313816891,2.471259982530302,0.0,True,True,3,3
1.3843218999973033,True,True,2,1.6505084347080945,0.9058509223751203,177.10365711516226,2.6836531109401878,2.7021741552033363,0.0,True,True,3,3
1.4636889999965206,True,True,2,1.6514143227881817,0.906627419165011,177.20041331847483,15.03316762624066,1.5741788572028221,0.0,True,True,4,3
1.5439960000076098,True,True,2,1.6507997083994999,0.9072797001201661,177.2766167034922,11.160000228145467,3.5479142660618748,0.0,True,True,4,4
1.6215546000021277,True,True,2,1.65089904465707,0.9071219185555855,177.26870517868394,2.4039580114891304,3.4032272202108937,0.0,True,True,4,4
1.691322200000286,True,True,2,1.6514130866828267,0.9066015028625416,177.2771306916331,10.484608212236479,1.6046581382356986,0.0,True,True,4,3
1.7700906000100076,True,True,2,1.6513072328931127,0.9066558350509188,177.2158476981021,1.5105453501993833,1.827882750074382,0.0,True,True,4,3
1.8432000000029802,True,True,2,1.6513963760291954,0.9064021300543087,177.2528181614129,3.678189846197041,1.5027887817563854,0.0,True,True,4,3
1.9135681000043405,True,True,2,1.6506866083255847,0.9060025024404329,177.16686364347703,11.575389492745375,2.3457696023051797,0.0,True,True,3,3
1.9867996999964816,True,True,2,1.6506891384136824,0.9059172214496346,177.19344805500526,1.1650505172518024,2.354186662652922,0.0,True,True,3,3
2.0610695000068517,True,True,2,1.6503252311668781,0.9062266429907727,177.2035670258304,6.431572694096411,3.70632545214768,0.0,True,True,3,4
2.1360112999973353,True,True,2,1.6503626584018056,0.9062976494275427,177.16319850995785,1.0710512151839915,3.7803210019471716,0.0,True,True,3,4
2.2109839000040665,True,True,2,1.650275490728077,0.9062869863595003,177.13110496040576,1.1713272458803685,3.7605410989724293,0.0,True,True,3,4
2.285716099999263,True,True,2,1.6507755899542147,0.9071613981050627,177.2724403408485,13.479072897590246,3.5470514015767645,0.0,True,True,3,4
2.364800199997262,True,True,2,1.6508393366701644,0.9070587276396784,177.20805869989476,1.5281276900044383,3.4916657562693496,0.0,True,True,3,4
2.4353708999988157,True,True,2,1.6509530924623026,0.9069974259177964,177.27044512780958,1.831097466873196,3.499941236827988,0.0,True,True,3,4
2.5088652999984333,True,True,2,1.6509009806843875,0.9069956896688806,177.21242011893958,0.7094512490107737,3.4506201387589006,0.0,True,True,3,4
2.5774867000000086,True,True,2,1.6508904875297192,0.9070208587738358,177.23600704703813,0.39738112664890707,3.4434394181338344,0.0,True,True,3,4
2.648339000006672,True,True,2,1.65090862341971,0.907018296568692,177.25214867045958,0.2585094284325376,3.5146756510760455,0.0,True,True,3,4
2.7207862000068417,True,True,2,1.6508588156113524,0.9071808011630512,177.19396759240271,2.3460720695626307,3.7631312952208087,0.0,True,True,3,4
2.7877682999969693,True,True,2,1.6509369141774397,0.9070158719551847,177.23342466362942,2.724394981484955,3.510107237730513,0.0,True,True,3,4
2.8594111999991583,True,True,2,1.6507496844236507,0.9073154077889535,177.29696542202936,4.93052975885218,3.660470969440535,0.0,True,True,4,4
2.9259789000061573,True,True,2,1.6508066074246375,0.9071193160179146,177.26521027158265,3.067354069571734,3.330414216573326,0.0,True,True,4,4
3.001216899996507,True,True,2,1.6507107369795024,0.9072384365511207,177.19206628276044,2.032323536274347,3.6020612553853346,0.0,True,True,4,4
3.0677593000000343,True,True,2,1.6507440450108934,0.9071943104636266,177.2060720057579,0.8308379706331208,3.540307975286855,0.0,True,True,4,3
3.1413501000060933,True,True,2,1.650779537035,0.9071691121053179,177.27698624839798,0.5914798385087192,3.4560925544088867,0.0,True,True,4,3
3.2096454999991693,True,True,2,1.6507785923561284,0.9071718326581841,177.23938850042111,0.04216829182692445,3.3844349704276033,0.0,True,True,4,3
3.2914202000101795,True,True,2,1.6507878984890607,0.907259671012492,177.25872626452735,1.0801623606328248,3.629671353749875,0.0,True,True,4,3
3.368846500001382,True,True,2,1.650719058048932,0.907261830699487,177.1484059748692,0.889546692051212,3.6695579349268796,0.0,True,True,4,3
3.440505300008226,True,True,2,1.6507934836887697,0.9071868029076261,177.2692165912635,1.474772013534357,3.4192788049360163,0.0,True,True,4,4
3.5169375999976182,True,True,2,1.6507267951010196,0.9071777402597504,177.22039042154228,0.8805381381576131,3.4227109721457607,0.0,True,True,4,4
3.5985280000022613,True,True,2,1.6507563154311593,0.9071631559491747,177.26212264003436,0.40355806097532426,3.3419743517991063,0.0,True,True,4,4
3.6647486000001663,True,True,2,1.650787635166171,0.9072846016902043,177.29104515805665,1.8939615785611947,3.6791316283533297,0.0,True,True,4,4
3.736554100003559,True,True,2,1.650749894895982,0.907182144084918,177.21306090063416,1.520599432379416,3.5262344592600314,0.0,True,True,4,4
3.814337700008764,True,True,2,1.650837349960007,0.9071693022559745,177.3249600752407,1.136394786338784,3.3511471417552467,0.0,True,True,4,4
3.8877556000079494,True,True,2,1.650766636597147,0.9072197207726008,177.21440599702578,1.1829135584708796,3.4884210679023973,0.0,True,True,4,3
3.9585056000069017,True,True,2,1.6507857796474532,0.9072680344275389,177.20056539318574,0.734529029630872,3.7230822592580743,0.0,True,True,4,3
4.033285600002273,True,True,2,1.6507367334938503,0.9072238890949119,177.2356414093437,0.8824202932137512,3.607914170817841,0.0,True,True,4,3
4.110115700008464,True,True,2,1.6508228153678617,0.9071093893855782,177.26883474301655,1.8644904492723342,3.352150259464458,0.0,True,True,4,3
